1,Spencer,PA,1,Tile,200,2,3,4,5,6,1,
1,SpencerShandonay,OH,1,Tile,400,2,3,4,5,6,1,
1,James,OH,1,Carpet,999,2,3,4,5,6,1,
1,Tiffany,OH,1,Wood,777,2,3,4,5,6,1,
1,Brad,OH,1,Wood,200,2,3,4,5,6,1,
1,Tiffany,OH,1,Wood,888,2,3,4,5,6,1,
1,Roger,oh,1,Carpet,2000,2,3,4,5,6,1,
1,Billy,oh,1,Tile,200,2,3,4,5,6,1,
1,Jenny,OH,1,Tile,200,2,3,4,5,6,1,
1,Jenny,OH,1,Tile,200,2,3,4,5,6,1,
1,Spenny,OH,1,tile,50,2,3,4,5,6,1,
1,Justin,OH,1,Tile,200.3,2,3,4,5,6,1,
1,J,pa,1,wood,20,2,3,4,5,6,1,
1,James,PA,1,Wood,200,2,3,4,5,6,1,
1,Jim,PA,null,Wood,20,null,null,null,null,null,null,
1,Jimmy,IN,6.00,Wood,20,103.00,4.75,5.15,95.00,11.88,209.88,
1,James,MI,5.75,Wood,1,5.15,4.75,5.15,4.75,0.57,10.47,
1,Jenny,PA,6.75,Wood,1,5.15,4.75,5.15,4.75,0.67,10.57,
1,James,PA,6.75,Wood,2,10.30,4.75,5.15,9.50,1.34,21.14,
1,J,PA,6.75,Wood,2,10.30,4.75,5.15,9.50,1.34,21.14,
1,Julia,PA,6.75,Wood,2,10.30,4.75,5.15,9.50,1.34,21.14,
1,Julia,PA,6.75,Wood,2,10.30,4.75,5.15,9.50,1.34,21.14,
1,Ju,PA,6.75,Wood,2,10.30,4.75,5.15,9.50,1.34,21.14,
1,Jen,PA,6.75,Laminate,2,3.50,2.10,1.75,4.20,0.52,8.22,
1,Ju,PA,6.75,Tile,1,3.50,4.15,3.50,4.15,0.52,8.17,
1,Jenn,OH,6.25,Carpet,2,4.50,2.10,2.25,4.20,0.54,9.24,
1,April,PA,6.75,Wood,2,10.30,4.75,5.15,9.50,1.34,21.14,
